unix,open,high,low,close,volume,num_of_trades,symbol
1640995200000,46216.93000000,46527.26000000,46208.37000000,46332.51000000,386.65709000,11104,BTCUSDT
1640996100000,46332.52000000,46421.27000000,46236.27000000,46375.42000000,319.99973000,8570,BTCUSDT
1640997000000,46375.42000000,46689.42000000,46360.19000000,46610.81000000,386.08077000,9931,BTCUSDT
1640997900000,46610.81000000,46731.39000000,46575.76000000,46656.13000000,410.59336000,9003,BTCUSDT
1640998800000,46656.14000000,46767.24000000,46574.06000000,46766.99000000,330.08774000,8666,BTCUSDT
1640999700000,46766.99000000,46949.99000000,46752.17000000,46815.33000000,259.42027000,10264,BTCUSDT
1641000600000,46815.34000000,46884.63000000,46748.05000000,46768.10000000,180.18171000,6597,BTCUSDT
1641001500000,46768.11000000,46861.47000000,46711.90000000,46778.14000000,174.12567000,6345,BTCUSDT
1641002400000,46778.14000000,46867.75000000,46769.95000000,46845.97000000,121.88714000,6578,BTCUSDT
1641003300000,46845.98000000,46928.94000000,46826.00000000,46826.01000000,151.63112000,6816,BTCUSDT
1641004200000,46826.00000000,46826.01000000,46721.96000000,46775.91000000,118.53757000,6140,BTCUSDT
1641005100000,46775.90000000,46860.39000000,46773.93000000,46811.77000000,93.11277000,4830,BTCUSDT
1641006000000,46811.77000000,46851.56000000,46760.12000000,46826.10000000,78.24895000,4673,BTCUSDT
1641006900000,46826.11000000,46916.63000000,46777.00000000,46809.15000000,218.66839000,5581,BTCUSDT
1641007800000,46809.16000000,46900.00000000,46809.15000000,46867.98000000,132.30528000,4961,BTCUSDT
1641008700000,46867.98000000,46898.99000000,46813.20000000,46813.20000000,133.66709000,4667,BTCUSDT
1641009600000,46813.21000000,46887.33000000,46630.23000000,46648.04000000,264.47177000,7443,BTCUSDT
1641010500000,46648.04000000,46720.13000000,46591.23000000,46708.14000000,199.91580000,5745,BTCUSDT
1641011400000,46708.13000000,46783.76000000,46639.18000000,46734.52000000,248.42884000,5088,BTCUSDT
1641012300000,46734.52000000,46842.98000000,46708.00000000,46711.05000000,149.06748000,5081,BTCUSDT
1641013200000,46711.05000000,46780.00000000,46673.94000000,46780.00000000,103.53838000,5049,BTCUSDT
1641014100000,46780.00000000,47500.00000000,46762.63000000,47379.13000000,689.54354000,18135,BTCUSDT
1641015000000,47379.13000000,47555.55000000,47226.39000000,47300.00000000,407.37499000,11377,BTCUSDT
1641015900000,47300.01000000,47314.47000000,47135.30000000,47192.55000000,200.27951000,6870,BTCUSDT
1641016800000,47192.56000000,47324.42000000,47089.43000000,47307.04000000,169.14727000,7051,BTCUSDT
1641017700000,47307.03000000,47307.04000000,47119.37000000,47130.36000000,98.75754000,5284,BTCUSDT
1641018600000,47130.37000000,47197.32000000,47112.91000000,47158.02000000,86.74539000,5248,BTCUSDT
1641019500000,47158.02000000,47235.49000000,46940.00000000,46979.62000000,259.32756000,7613,BTCUSDT
1641020400000,46979.61000000,47044.26000000,46864.84000000,46990.23000000,175.37744000,6861,BTCUSDT
1641021300000,46990.23000000,47052.98000000,46948.41000000,46959.61000000,119.88006000,5072,BTCUSDT
1641022200000,46959.61000000,47122.91000000,46945.77000000,47096.70000000,132.61288000,6215,BTCUSDT
1641023100000,47096.69000000,47255.85000000,47073.12000000,47194.73000000,218.33043000,7018,BTCUSDT
