unix,open,high,low,close,volume,num_of_trades,symbol
1661990400000,20048.44000000,20138.15000000,20004.06000000,20107.74000000,3144.25037000,68327,BTCUSDT
1661991300000,20108.77000000,20135.89000000,20058.71000000,20097.72000000,2119.51680000,53129,BTCUSDT
1661992200000,20097.72000000,20124.35000000,19917.06000000,19925.24000000,3026.84912000,78129,BTCUSDT
1661993100000,19925.24000000,20089.61000000,19917.01000000,20064.43000000,2818.08596000,79592,BTCUSDT
1661994000000,20064.43000000,20133.00000000,20051.22000000,20067.70000000,2196.20885000,59294,BTCUSDT
1661994900000,20066.90000000,20147.45000000,20065.82000000,20115.24000000,1924.33283000,47277,BTCUSDT
1661995800000,20116.28000000,20185.09000000,20095.45000000,20149.01000000,2072.55452000,51391,BTCUSDT
1661996700000,20149.80000000,20161.68000000,20110.93000000,20127.45000000,1749.56250000,42314,BTCUSDT
1661997600000,20127.45000000,20201.50000000,20121.97000000,20177.68000000,2066.35278000,50176,BTCUSDT
1661998500000,20177.99000000,20208.37000000,20162.26000000,20189.01000000,1523.48520000,39220,BTCUSDT
1661999400000,20188.05000000,20199.61000000,20118.35000000,20130.34000000,1929.52430000,44596,BTCUSDT
1662000300000,20130.34000000,20132.25000000,20069.35000000,20118.09000000,1737.41201000,46786,BTCUSDT
1662001200000,20119.43000000,20181.22000000,20108.51000000,20133.96000000,1638.52316000,42970,BTCUSDT
1662002100000,20132.77000000,20171.99000000,20119.13000000,20138.78000000,1680.29342000,43336,BTCUSDT
1662003000000,20138.78000000,20141.77000000,20031.10000000,20045.35000000,2364.94360000,57880,BTCUSDT
1662003900000,20045.35000000,20078.58000000,19931.00000000,20022.97000000,3513.24344000,91019,BTCUSDT
1662004800000,20023.82000000,20070.45000000,19993.74000000,20006.08000000,1979.31873000,52018,BTCUSDT
1662005700000,20006.08000000,20066.00000000,19991.45000000,20045.16000000,1751.46963000,47343,BTCUSDT
1662006600000,20046.21000000,20082.00000000,20044.15000000,20060.18000000,1348.22745000,39120,BTCUSDT
1662007500000,20059.33000000,20095.00000000,20045.32000000,20055.59000000,1562.96846000,41186,BTCUSDT
1662008400000,20055.59000000,20097.16000000,20035.96000000,20089.70000000,1569.50084000,37688,BTCUSDT
1662009300000,20089.70000000,20139.00000000,20087.70000000,20122.61000000,1971.32823000,45958,BTCUSDT
