unix,open,high,low,close,volume,num_of_trades,symbol
1640995200000,238.58000000,240.49000000,238.58000000,240.08000000,341.08000000,360,EGLDUSDT
1640996100000,240.09000000,240.47000000,239.54000000,240.21000000,836.92000000,417,EGLDUSDT
1640997000000,240.33000000,241.35000000,239.91000000,241.18000000,539.53000000,496,EGLDUSDT
1640997900000,241.14000000,244.02000000,241.09000000,243.13000000,2365.74000000,1601,EGLDUSDT
1640998800000,243.19000000,244.94000000,242.55000000,244.74000000,808.24000000,742,EGLDUSDT
1640999700000,244.70000000,245.07000000,243.59000000,244.02000000,1226.60000000,737,EGLDUSDT
1641000600000,244.08000000,244.20000000,243.00000000,243.08000000,516.78000000,387,EGLDUSDT
1641001500000,242.99000000,243.22000000,241.89000000,242.27000000,748.20000000,494,EGLDUSDT
1641002400000,242.39000000,243.30000000,242.31000000,242.56000000,795.05000000,484,EGLDUSDT
1641003300000,242.70000000,243.27000000,242.70000000,242.77000000,190.58000000,236,EGLDUSDT
1641004200000,242.74000000,242.74000000,241.81000000,242.11000000,110.87000000,137,EGLDUSDT
1641005100000,242.10000000,242.40000000,241.85000000,242.14000000,142.70000000,160,EGLDUSDT
1641006000000,242.27000000,242.91000000,242.00000000,242.89000000,328.51000000,307,EGLDUSDT
1641006900000,242.86000000,243.16000000,242.42000000,242.77000000,205.85000000,271,EGLDUSDT
1641007800000,242.67000000,242.85000000,242.16000000,242.66000000,245.51000000,229,EGLDUSDT
1641008700000,242.67000000,242.88000000,242.15000000,242.46000000,155.29000000,203,EGLDUSDT
1641009600000,242.53000000,242.89000000,240.54000000,240.84000000,698.39000000,492,EGLDUSDT
1641010500000,240.80000000,241.70000000,240.80000000,241.10000000,214.88000000,273,EGLDUSDT
1641011400000,241.07000000,241.97000000,240.90000000,241.70000000,218.98000000,217,EGLDUSDT
1641012300000,241.61000000,241.71000000,240.87000000,241.05000000,256.99000000,225,EGLDUSDT
1641013200000,240.85000000,241.18000000,240.10000000,241.06000000,386.66000000,320,EGLDUSDT
1641014100000,241.03000000,243.68000000,240.73000000,243.26000000,1007.35000000,602,EGLDUSDT
1641015000000,243.36000000,243.99000000,242.01000000,242.27000000,1037.84000000,568,EGLDUSDT
1641015900000,242.18000000,242.60000000,241.63000000,242.18000000,262.35000000,260,EGLDUSDT
1641016800000,242.22000000,242.82000000,241.51000000,242.64000000,118.64000000,152,EGLDUSDT
1641017700000,242.59000000,242.77000000,241.52000000,241.60000000,170.71000000,179,EGLDUSDT
1641018600000,241.70000000,242.03000000,241.27000000,241.52000000,179.17000000,199,EGLDUSDT
1641019500000,241.55000000,241.90000000,240.76000000,240.90000000,264.16000000,293,EGLDUSDT
