unix,open,high,low,close,volume,num_of_trades,symbol
1664582400000,47.53000000,47.63000000,47.51000000,47.60000000,668.69000000,103,EGLDUSDT
1664582700000,47.61000000,47.80000000,47.61000000,47.78000000,1086.74000000,213,EGLDUSDT
1664583000000,47.78000000,47.95000000,47.78000000,47.80000000,930.97000000,217,EGLDUSDT
1664583300000,47.79000000,47.79000000,47.71000000,47.74000000,146.38000000,33,EGLDUSDT
1664583600000,47.76000000,47.78000000,47.71000000,47.71000000,116.14000000,28,EGLDUSDT
1664583900000,47.74000000,47.74000000,47.67000000,47.70000000,118.10000000,29,EGLDUSDT
1664584200000,47.70000000,47.70000000,47.53000000,47.63000000,352.83000000,63,EGLDUSDT
1664584500000,47.65000000,47.68000000,47.58000000,47.58000000,336.66000000,64,EGLDUSDT
1664584800000,47.60000000,47.63000000,47.55000000,47.56000000,172.28000000,32,EGLDUSDT
1664585100000,47.57000000,47.61000000,47.56000000,47.61000000,39.39000000,12,EGLDUSDT
1664585400000,47.62000000,47.64000000,47.47000000,47.50000000,2591.81000000,200,EGLDUSDT
1664585700000,47.49000000,47.51000000,47.43000000,47.43000000,700.16000000,87,EGLDUSDT
1664586000000,47.44000000,47.54000000,47.41000000,47.54000000,314.93000000,41,EGLDUSDT
1664586300000,47.53000000,47.57000000,47.53000000,47.57000000,48.87000000,11,EGLDUSDT
1664586600000,47.56000000,47.65000000,47.56000000,47.65000000,449.89000000,79,EGLDUSDT
1664586900000,47.66000000,47.72000000,47.66000000,47.71000000,320.60000000,81,EGLDUSDT
1664587200000,47.70000000,47.75000000,47.69000000,47.73000000,276.23000000,54,EGLDUSDT
1664587500000,47.74000000,47.78000000,47.73000000,47.74000000,366.58000000,65,EGLDUSDT
1664587800000,47.75000000,47.76000000,47.70000000,47.72000000,300.47000000,58,EGLDUSDT
1664588100000,47.74000000,47.75000000,47.65000000,47.65000000,471.41000000,59,EGLDUSDT
1664588400000,47.66000000,47.70000000,47.65000000,47.70000000,114.12000000,17,EGLDUSDT
1664588700000,47.71000000,47.77000000,47.71000000,47.77000000,315.56000000,39,EGLDUSDT
1664589000000,47.77000000,47.99000000,47.77000000,47.97000000,2043.20000000,289,EGLDUSDT
1664589300000,47.96000000,48.00000000,47.92000000,47.99000000,279.32000000,46,EGLDUSDT
1664589600000,48.00000000,48.02000000,47.97000000,48.00000000,318.74000000,62,EGLDUSDT
1664589900000,48.00000000,48.06000000,47.99000000,48.05000000,494.72000000,90,EGLDUSDT
1664590200000,48.05000000,48.05000000,47.99000000,48.03000000,269.56000000,55,EGLDUSDT
1664590500000,48.02000000,48.04000000,48.00000000,48.03000000,182.02000000,63,EGLDUSDT
1664590800000,48.03000000,48.10000000,47.99000000,48.02000000,833.57000000,138,EGLDUSDT
1664591100000,48.00000000,48.02000000,47.96000000,47.99000000,393.16000000,53,EGLDUSDT
1664591400000,48.00000000,48.05000000,48.00000000,48.05000000,108.14000000,19,EGLDUSDT
1664591700000,48.06000000,48.11000000,48.06000000,48.09000000,184.34000000,33,EGLDUSDT
1664592000000,48.09000000,48.11000000,48.07000000,48.08000000,69.05000000,23,EGLDUSDT
1664592300000,48.07000000,48.08000000,48.04000000,48.08000000,117.29000000,28,EGLDUSDT
1664592600000,48.07000000,48.23000000,48.07000000,48.21000000,1029.21000000,185,EGLDUSDT
1664592900000,48.21000000,48.21000000,48.15000000,48.16000000,253.63000000,38,EGLDUSDT
1664593200000,48.18000000,48.22000000,48.12000000,48.15000000,1340.85000000,121,EGLDUSDT
1664593500000,48.16000000,48.16000000,48.01000000,48.01000000,510.26000000,85,EGLDUSDT
1664593800000,48.01000000,48.02000000,47.97000000,48.02000000,197.42000000,42,EGLDUSDT
1664594100000,48.04000000,48.19000000,48.04000000,48.19000000,308.20000000,105,EGLDUSDT
1664594400000,48.20000000,48.23000000,48.18000000,48.22000000,167.80000000,47,EGLDUSDT
1664594700000,48.19000000,48.19000000,48.11000000,48.11000000,185.97000000,39,EGLDUSDT
1664595000000,48.05000000,48.11000000,48.05000000,48.09000000,132.89000000,22,EGLDUSDT
1664595300000,48.11000000,48.12000000,48.07000000,48.07000000,252.51000000,37,EGLDUSDT
1664595600000,48.07000000,48.11000000,48.06000000,48.10000000,203.25000000,30,EGLDUSDT
1664595900000,48.10000000,48.10000000,48.08000000,48.09000000,25.42000000,12,EGLDUSDT
