unix,open,high,low,close,volume,num_of_trades,symbol
1635724800000,4287.48000000,4315.00000000,4276.79000000,4310.69000000,5816.88810000,12477,ETHUSDT
1635725700000,4310.70000000,4323.35000000,4310.01000000,4314.94000000,3886.02180000,9401,ETHUSDT
1635726600000,4314.95000000,4322.77000000,4300.03000000,4300.48000000,4158.71570000,9593,ETHUSDT
1635727500000,4300.47000000,4318.43000000,4300.02000000,4317.03000000,2268.07330000,5939,ETHUSDT
1635728400000,4317.03000000,4325.00000000,4312.38000000,4320.04000000,2715.72650000,7653,ETHUSDT
1635729300000,4320.05000000,4320.90000000,4308.83000000,4311.44000000,1717.70160000,5087,ETHUSDT
1635730200000,4311.27000000,4312.06000000,4296.64000000,4297.82000000,3420.54340000,6533,ETHUSDT
1635731100000,4297.82000000,4302.70000000,4293.12000000,4293.87000000,2222.75780000,5450,ETHUSDT
1635732000000,4293.86000000,4306.91000000,4292.16000000,4295.00000000,2136.42000000,6762,ETHUSDT
1635732900000,4295.01000000,4301.24000000,4202.90000000,4217.09000000,16884.32920000,39964,ETHUSDT
1635733800000,4217.14000000,4249.14000000,4191.21000000,4228.71000000,9274.73910000,20089,ETHUSDT
1635734700000,4228.71000000,4241.71000000,4226.03000000,4236.12000000,2718.49170000,6760,ETHUSDT
1635735600000,4236.14000000,4241.00000000,4216.31000000,4223.73000000,4432.31610000,10334,ETHUSDT
1635736500000,4223.73000000,4227.89000000,4211.79000000,4218.39000000,3203.68050000,7750,ETHUSDT
1635737400000,4218.39000000,4230.55000000,4214.54000000,4220.55000000,2052.42500000,6094,ETHUSDT
1635738300000,4220.83000000,4222.52000000,4175.00000000,4190.66000000,9012.66370000,19951,ETHUSDT
1635739200000,4191.50000000,4196.45000000,4146.30000000,4194.38000000,15769.29700000,45412,ETHUSDT
1635740100000,4193.84000000,4213.23000000,4191.14000000,4206.22000000,5077.65120000,11399,ETHUSDT
1635741000000,4205.79000000,4243.03000000,4205.36000000,4239.19000000,5324.56360000,15322,ETHUSDT
1635741900000,4239.19000000,4242.12000000,4224.23000000,4226.92000000,3807.52190000,6080,ETHUSDT
1635742800000,4226.91000000,4239.00000000,4225.00000000,4233.64000000,3658.07400000,7093,ETHUSDT
1635743700000,4233.64000000,4246.31000000,4231.60000000,4238.15000000,2158.18360000,6676,ETHUSDT
1635744600000,4238.16000000,4251.54000000,4238.14000000,4251.22000000,3168.48900000,7432,ETHUSDT
1635745500000,4251.23000000,4252.58000000,4220.00000000,4225.00000000,4596.06050000,10587,ETHUSDT
1635746400000,4225.00000000,4225.99000000,4203.16000000,4209.00000000,4048.43100000,9768,ETHUSDT
1635747300000,4208.99000000,4234.21000000,4198.55000000,4232.36000000,3627.54850000,8830,ETHUSDT
1635748200000,4232.37000000,4259.14000000,4231.96000000,4246.87000000,4299.75600000,9790,ETHUSDT
1635749100000,4246.87000000,4247.03000000,4231.87000000,4241.99000000,1933.20160000,5661,ETHUSDT
1635750000000,4241.99000000,4316.71000000,4241.46000000,4307.43000000,13028.31430000,34552,ETHUSDT
1635750900000,4307.44000000,4320.00000000,4290.55000000,4298.49000000,9344.13730000,18070,ETHUSDT
1635751800000,4298.50000000,4307.94000000,4283.10000000,4293.61000000,5457.94620000,10797,ETHUSDT
1635752700000,4293.61000000,4306.68000000,4292.40000000,4302.93000000,3532.82120000,8767,ETHUSDT
1635753600000,4302.94000000,4324.90000000,4302.93000000,4315.01000000,6500.06440000,15507,ETHUSDT
1635754500000,4315.00000000,4338.07000000,4311.45000000,4321.76000000,6540.70150000,17287,ETHUSDT
1635755400000,4321.77000000,4330.00000000,4298.01000000,4304.15000000,4699.60320000,11805,ETHUSDT
1635756300000,4304.14000000,4314.78000000,4294.52000000,4311.11000000,3298.18510000,9174,ETHUSDT
1635757200000,4311.11000000,4332.98000000,4310.64000000,4331.51000000,3403.21580000,9873,ETHUSDT
1635758100000,4331.50000000,4344.41000000,4317.17000000,4323.00000000,5739.46510000,14395,ETHUSDT
1635759000000,4323.00000000,4337.16000000,4322.40000000,4328.97000000,3484.69380000,7983,ETHUSDT
1635759900000,4328.96000000,4331.17000000,4316.33000000,4316.56000000,3547.98450000,7652,ETHUSDT
1635760800000,4316.55000000,4329.86000000,4316.33000000,4326.00000000,2816.14910000,8119,ETHUSDT
1635761700000,4326.00000000,4328.13000000,4313.86000000,4321.98000000,3300.67290000,7847,ETHUSDT
1635762600000,4321.99000000,4335.00000000,4320.61000000,4324.58000000,2506.48740000,6813,ETHUSDT
1635763500000,4324.57000000,4330.00000000,4317.65000000,4328.94000000,2584.40170000,7158,ETHUSDT
1635764400000,4328.94000000,4354.33000000,4327.38000000,4336.76000000,10083.55010000,24929,ETHUSDT
1635765300000,4336.75000000,4352.00000000,4333.43000000,4351.70000000,5285.53060000,10872,ETHUSDT
1635766200000,4351.69000000,4353.32000000,4303.48000000,4325.53000000,6831.11670000,12646,ETHUSDT
1635767100000,4325.52000000,4331.88000000,4308.20000000,4315.00000000,3588.76840000,8446,ETHUSDT
1635768000000,4315.00000000,4373.30000000,4314.99000000,4363.60000000,14386.48540000,39077,ETHUSDT
1635768900000,4363.60000000,4368.27000000,4341.18000000,4341.66000000,5579.79030000,13556,ETHUSDT
1635769800000,4341.67000000,4354.44000000,4335.08000000,4346.95000000,3713.90510000,10051,ETHUSDT
1635770700000,4346.95000000,4360.00000000,4336.08000000,4345.58000000,4687.99780000,9241,ETHUSDT
1635771600000,4345.58000000,4351.72000000,4336.00000000,4351.29000000,3163.53740000,8947,ETHUSDT
1635772500000,4351.29000000,4354.25000000,4340.00000000,4352.59000000,2752.91070000,7675,ETHUSDT
1635773400000,4352.24000000,4363.18000000,4346.00000000,4357.92000000,3843.52590000,9476,ETHUSDT
1635774300000,4357.92000000,4377.00000000,4352.16000000,4375.33000000,6298.02780000,15321,ETHUSDT
1635775200000,4375.51000000,4386.58000000,4345.08000000,4347.71000000,5594.95110000,25803,ETHUSDT
1635776100000,4347.71000000,4365.57000000,4347.71000000,4359.68000000,3405.22830000,10058,ETHUSDT
1635777000000,4359.68000000,4361.64000000,4339.09000000,4343.39000000,3490.76710000,9080,ETHUSDT
1635777900000,4343.38000000,4348.59000000,4308.25000000,4329.78000000,7271.85440000,25065,ETHUSDT
1635778800000,4329.78000000,4339.41000000,4325.85000000,4334.17000000,2381.12190000,11826,ETHUSDT
1635779700000,4334.17000000,4351.16000000,4333.40000000,4342.32000000,2506.93160000,11225,ETHUSDT
1635780600000,4342.31000000,4353.10000000,4342.14000000,4345.28000000,2392.42130000,10428,ETHUSDT
1635781500000,4345.28000000,4349.98000000,4330.79000000,4349.98000000,2566.01590000,10290,ETHUSDT
1635782400000,4349.97000000,4354.65000000,4333.51000000,4338.22000000,3479.03440000,9194,ETHUSDT
1635783300000,4338.22000000,4354.20000000,4336.38000000,4339.50000000,2453.67360000,7235,ETHUSDT
1635784200000,4339.49000000,4348.42000000,4317.00000000,4323.58000000,3900.18850000,9426,ETHUSDT
1635785100000,4323.58000000,4324.68000000,4288.32000000,4296.04000000,9310.15070000,22150,ETHUSDT
1635786000000,4296.04000000,4303.02000000,4269.69000000,4273.50000000,6010.77570000,24035,ETHUSDT
1635786900000,4273.49000000,4294.09000000,4271.69000000,4280.78000000,3234.83160000,12346,ETHUSDT
1635787800000,4280.77000000,4294.00000000,4275.32000000,4287.16000000,2894.85150000,9729,ETHUSDT
1635788700000,4287.17000000,4297.33000000,4280.00000000,4283.72000000,2309.93340000,8661,ETHUSDT
1635789600000,4283.73000000,4290.47000000,4264.63000000,4290.45000000,3368.06190000,14282,ETHUSDT
1635790500000,4290.46000000,4290.46000000,4276.14000000,4284.29000000,1923.54200000,8701,ETHUSDT
1635791400000,4284.68000000,4304.37000000,4277.00000000,4303.51000000,3157.41530000,11096,ETHUSDT
1635792300000,4303.52000000,4303.85000000,4290.40000000,4295.92000000,2036.56200000,9009,ETHUSDT
1635793200000,4295.92000000,4338.00000000,4279.36000000,4327.95000000,6767.17100000,18691,ETHUSDT
1635794100000,4327.94000000,4350.00000000,4325.51000000,4339.01000000,4006.79190000,12081,ETHUSDT
1635795000000,4339.01000000,4340.43000000,4328.28000000,4329.51000000,2204.08140000,8177,ETHUSDT
1635795900000,4329.51000000,4366.00000000,4327.59000000,4364.28000000,3672.95720000,14352,ETHUSDT
1635796800000,4364.28000000,4365.78000000,4337.18000000,4356.84000000,4912.63780000,14394,ETHUSDT
1635797700000,4356.84000000,4358.87000000,4328.19000000,4328.99000000,2446.86040000,8671,ETHUSDT
1635798600000,4328.98000000,4330.00000000,4314.12000000,4328.10000000,3382.84170000,10304,ETHUSDT
1635799500000,4328.11000000,4329.89000000,4300.00000000,4310.18000000,5455.07650000,12465,ETHUSDT
1635800400000,4310.48000000,4310.99000000,4281.12000000,4289.99000000,4881.11730000,13859,ETHUSDT
1635801300000,4289.99000000,4301.65000000,4289.38000000,4290.67000000,2477.47360000,9774,ETHUSDT
