unix,open,high,low,close,volume,num_of_trades,symbol
1661990400000,1554.11000000,1566.53000000,1550.04000000,1563.27000000,12630.14670000,14977,ETHUSDT
1661991300000,1563.26000000,1566.28000000,1553.57000000,1558.89000000,5845.31410000,9672,ETHUSDT
1661992200000,1558.89000000,1562.49000000,1534.67000000,1535.22000000,19009.11080000,21380,ETHUSDT
1661993100000,1535.22000000,1555.16000000,1533.92000000,1551.37000000,13120.66840000,17437,ETHUSDT
1661994000000,1551.38000000,1559.99000000,1548.78000000,1549.37000000,9588.34500000,13633,ETHUSDT
1661994900000,1549.38000000,1556.76000000,1548.02000000,1554.12000000,10840.94330000,12701,ETHUSDT
1661995800000,1554.12000000,1564.16000000,1551.51000000,1562.03000000,5679.06460000,9456,ETHUSDT
1661996700000,1562.02000000,1564.75000000,1558.65000000,1559.59000000,4239.78000000,7826,ETHUSDT
1661997600000,1559.58000000,1573.98000000,1559.50000000,1570.70000000,7342.20470000,11100,ETHUSDT
1661998500000,1570.71000000,1573.89000000,1568.14000000,1571.67000000,5201.42730000,8170,ETHUSDT
1661999400000,1571.66000000,1573.27000000,1559.72000000,1561.23000000,5739.68890000,8379,ETHUSDT
1662000300000,1561.22000000,1561.45000000,1550.99000000,1557.13000000,7241.28270000,10714,ETHUSDT
1662001200000,1557.13000000,1563.78000000,1554.50000000,1557.93000000,4605.78710000,8158,ETHUSDT
1662002100000,1557.92000000,1561.48000000,1552.58000000,1555.61000000,4005.46650000,8018,ETHUSDT
1662003000000,1555.61000000,1557.26000000,1545.48000000,1545.49000000,6613.30160000,12488,ETHUSDT
1662003900000,1545.48000000,1555.07000000,1537.23000000,1549.91000000,13087.65800000,20623,ETHUSDT
1662004800000,1549.92000000,1555.00000000,1543.40000000,1545.44000000,5091.34100000,10984,ETHUSDT
1662005700000,1545.44000000,1553.00000000,1542.46000000,1550.86000000,4105.15710000,8309,ETHUSDT
1662006600000,1550.85000000,1556.29000000,1550.83000000,1554.31000000,4279.71250000,10227,ETHUSDT
1662007500000,1554.31000000,1557.10000000,1550.04000000,1551.79000000,3815.86880000,9839,ETHUSDT
1662008400000,1551.80000000,1560.39000000,1548.66000000,1559.62000000,4606.74320000,8017,ETHUSDT
1662009300000,1559.62000000,1562.88000000,1558.33000000,1561.16000000,5778.78840000,9674,ETHUSDT
1662010200000,1561.16000000,1561.56000000,1556.50000000,1559.70000000,4148.13680000,7012,ETHUSDT
1662011100000,1559.69000000,1560.28000000,1550.87000000,1553.19000000,3867.31100000,8107,ETHUSDT
1662012000000,1553.19000000,1555.37000000,1548.02000000,1551.06000000,4281.90970000,9230,ETHUSDT
1662012900000,1551.06000000,1553.36000000,1544.50000000,1553.36000000,6633.23380000,11058,ETHUSDT
1662013800000,1553.35000000,1556.00000000,1550.99000000,1551.54000000,3684.50180000,7810,ETHUSDT
1662014700000,1551.55000000,1554.00000000,1546.31000000,1550.46000000,4467.02120000,9437,ETHUSDT
1662015600000,1550.45000000,1550.46000000,1539.19000000,1545.47000000,8999.27340000,14011,ETHUSDT
1662016500000,1545.43000000,1548.73000000,1538.38000000,1539.33000000,5271.21190000,10019,ETHUSDT
1662017400000,1539.32000000,1543.44000000,1531.08000000,1542.76000000,10486.20750000,15363,ETHUSDT
1662018300000,1542.77000000,1546.47000000,1540.12000000,1544.60000000,4639.14580000,9166,ETHUSDT
1662019200000,1544.59000000,1549.36000000,1538.59000000,1549.14000000,5289.57330000,9561,ETHUSDT
1662020100000,1549.14000000,1549.84000000,1542.65000000,1542.65000000,5993.65620000,9451,ETHUSDT
1662021000000,1542.66000000,1545.99000000,1533.04000000,1540.83000000,7214.19720000,12867,ETHUSDT
1662021900000,1540.82000000,1548.04000000,1538.51000000,1547.69000000,5375.90620000,10181,ETHUSDT
1662022800000,1547.69000000,1555.51000000,1542.69000000,1543.09000000,8185.77670000,12716,ETHUSDT
1662023700000,1543.10000000,1546.99000000,1538.23000000,1546.26000000,6841.08360000,13252,ETHUSDT
1662024600000,1546.25000000,1547.67000000,1542.62000000,1547.67000000,4126.89900000,8716,ETHUSDT
1662025500000,1547.67000000,1553.24000000,1545.15000000,1550.16000000,5243.34330000,10308,ETHUSDT
1662026400000,1550.16000000,1552.26000000,1547.93000000,1552.25000000,4290.61290000,8373,ETHUSDT
1662027300000,1552.25000000,1556.98000000,1549.25000000,1553.79000000,6867.55870000,11578,ETHUSDT
1662028200000,1553.79000000,1563.37000000,1552.35000000,1560.27000000,7262.09320000,12507,ETHUSDT
1662029100000,1560.27000000,1567.73000000,1556.56000000,1565.31000000,7146.62390000,12147,ETHUSDT
1662030000000,1565.30000000,1570.31000000,1559.53000000,1563.38000000,7833.67780000,13888,ETHUSDT
1662030900000,1563.38000000,1569.75000000,1561.04000000,1565.15000000,5905.53220000,11152,ETHUSDT
1662031800000,1565.16000000,1583.71000000,1564.50000000,1580.54000000,14914.22060000,20069,ETHUSDT
1662032700000,1580.57000000,1586.34000000,1576.51000000,1577.99000000,7945.44910000,11995,ETHUSDT
1662033600000,1577.99000000,1581.37000000,1571.26000000,1571.35000000,6353.94580000,11237,ETHUSDT
1662034500000,1571.34000000,1575.56000000,1563.08000000,1567.84000000,7755.38190000,15273,ETHUSDT
1662035400000,1567.84000000,1573.95000000,1552.12000000,1559.26000000,13169.98330000,20933,ETHUSDT
1662036300000,1559.26000000,1568.75000000,1557.50000000,1565.35000000,5837.13270000,12121,ETHUSDT
1662037200000,1565.36000000,1569.13000000,1559.42000000,1560.73000000,8940.23790000,12089,ETHUSDT
1662038100000,1560.73000000,1563.41000000,1556.16000000,1559.47000000,4434.03330000,8971,ETHUSDT
1662039000000,1559.47000000,1576.89000000,1554.61000000,1571.29000000,14664.99690000,22852,ETHUSDT
1662039900000,1571.30000000,1574.35000000,1556.62000000,1567.58000000,9578.60070000,18196,ETHUSDT
1662040800000,1567.58000000,1569.54000000,1541.51000000,1543.95000000,18373.33870000,26794,ETHUSDT
1662041700000,1543.95000000,1552.40000000,1535.00000000,1551.51000000,21117.84050000,28157,ETHUSDT
1662042600000,1551.50000000,1552.43000000,1539.06000000,1540.93000000,10675.56450000,17256,ETHUSDT
1662043500000,1540.92000000,1543.50000000,1515.68000000,1518.43000000,39427.65260000,47955,ETHUSDT
1662044400000,1518.43000000,1535.99000000,1512.77000000,1531.71000000,17883.45960000,27265,ETHUSDT
1662045300000,1531.70000000,1533.21000000,1526.16000000,1528.17000000,7579.92260000,13998,ETHUSDT
1662046200000,1528.18000000,1547.06000000,1527.86000000,1535.88000000,9882.51640000,16837,ETHUSDT
1662047100000,1535.89000000,1538.81000000,1530.99000000,1536.03000000,4584.32200000,9657,ETHUSDT
1662048000000,1536.02000000,1540.51000000,1531.98000000,1538.45000000,5283.05450000,9755,ETHUSDT
1662048900000,1538.44000000,1542.25000000,1532.32000000,1535.83000000,5713.45500000,10376,ETHUSDT
1662049800000,1535.84000000,1536.01000000,1523.60000000,1532.07000000,7539.81780000,13077,ETHUSDT
1662050700000,1532.08000000,1540.00000000,1525.42000000,1539.13000000,11469.37810000,15205,ETHUSDT
1662051600000,1539.12000000,1548.73000000,1536.39000000,1547.18000000,8946.94780000,13218,ETHUSDT
1662052500000,1547.18000000,1567.68000000,1543.50000000,1566.56000000,11912.70470000,20549,ETHUSDT
1662053400000,1566.55000000,1569.41000000,1555.49000000,1559.19000000,11233.49920000,19841,ETHUSDT
1662054300000,1559.19000000,1559.19000000,1552.29000000,1555.42000000,5233.06520000,10987,ETHUSDT
1662055200000,1555.42000000,1559.89000000,1552.82000000,1558.70000000,3524.00110000,9088,ETHUSDT
1662056100000,1558.69000000,1568.40000000,1556.83000000,1565.50000000,6055.58780000,11097,ETHUSDT
1662057000000,1565.50000000,1572.76000000,1560.00000000,1562.88000000,7624.69400000,13532,ETHUSDT
1662057900000,1562.89000000,1564.65000000,1556.20000000,1559.75000000,4244.13940000,8885,ETHUSDT
1662058800000,1559.75000000,1569.91000000,1558.76000000,1566.05000000,4749.67330000,9086,ETHUSDT
1662059700000,1566.06000000,1566.51000000,1556.83000000,1558.26000000,5681.35510000,8906,ETHUSDT
1662060600000,1558.26000000,1561.38000000,1557.27000000,1561.08000000,3151.27030000,6349,ETHUSDT
1662061500000,1561.07000000,1565.00000000,1558.02000000,1564.64000000,3074.35100000,6473,ETHUSDT
1662062400000,1564.65000000,1580.00000000,1561.70000000,1572.82000000,12029.71860000,17746,ETHUSDT
1662063300000,1572.83000000,1581.50000000,1572.82000000,1576.30000000,6467.03950000,10608,ETHUSDT
1662064200000,1576.29000000,1578.29000000,1573.08000000,1574.16000000,3281.33350000,6826,ETHUSDT
1662065100000,1574.17000000,1585.19000000,1572.86000000,1580.33000000,6165.82730000,11398,ETHUSDT
1662066000000,1580.33000000,1586.24000000,1578.00000000,1586.24000000,5176.66470000,8750,ETHUSDT
