unix,open,high,low,close,volume,num_of_trades,symbol
1664582400000,1328.71000000,1329.28000000,1327.73000000,1329.28000000,709.95370000,1140,ETHUSDT
1664582700000,1329.27000000,1330.53000000,1328.86000000,1330.23000000,1449.70020000,1416,ETHUSDT
1664583000000,1330.23000000,1331.33000000,1329.83000000,1331.21000000,568.06120000,1037,ETHUSDT
1664583300000,1331.21000000,1332.37000000,1330.01000000,1332.37000000,562.16170000,944,ETHUSDT
1664583600000,1332.37000000,1333.69000000,1332.25000000,1333.56000000,856.94080000,1223,ETHUSDT
1664583900000,1333.56000000,1333.69000000,1331.25000000,1332.82000000,912.41920000,1335,ETHUSDT
1664584200000,1332.81000000,1332.82000000,1327.38000000,1328.93000000,1580.93900000,2183,ETHUSDT
1664584500000,1328.94000000,1329.91000000,1326.94000000,1328.51000000,901.16620000,1274,ETHUSDT
1664584800000,1328.51000000,1329.41000000,1324.36000000,1324.70000000,2187.52080000,2010,ETHUSDT
1664585100000,1324.69000000,1326.88000000,1324.69000000,1326.74000000,555.83510000,1060,ETHUSDT
1664585400000,1326.75000000,1328.13000000,1326.42000000,1326.95000000,692.19450000,993,ETHUSDT
1664585700000,1326.96000000,1327.73000000,1326.29000000,1327.36000000,418.87580000,671,ETHUSDT
1664586000000,1327.35000000,1327.69000000,1326.00000000,1327.54000000,918.39540000,1062,ETHUSDT
1664586300000,1327.55000000,1328.48000000,1326.66000000,1328.19000000,519.00670000,791,ETHUSDT
1664586600000,1328.18000000,1329.29000000,1327.50000000,1328.82000000,791.41890000,1090,ETHUSDT
1664586900000,1328.81000000,1330.70000000,1328.71000000,1328.80000000,807.74540000,1223,ETHUSDT
1664587200000,1328.79000000,1330.50000000,1328.30000000,1329.56000000,477.14430000,909,ETHUSDT
1664587500000,1329.55000000,1329.99000000,1327.71000000,1327.84000000,275.45810000,708,ETHUSDT
1664587800000,1327.84000000,1329.00000000,1327.03000000,1328.56000000,864.62140000,1315,ETHUSDT
1664588100000,1328.56000000,1331.00000000,1327.91000000,1327.91000000,957.73410000,1206,ETHUSDT
1664588400000,1327.91000000,1329.41000000,1327.28000000,1329.35000000,236.58240000,583,ETHUSDT
1664588700000,1329.35000000,1329.66000000,1328.92000000,1329.13000000,185.21510000,521,ETHUSDT
1664589000000,1329.13000000,1332.42000000,1328.73000000,1332.42000000,787.39480000,1160,ETHUSDT
1664589300000,1332.41000000,1332.42000000,1331.31000000,1331.49000000,768.92340000,983,ETHUSDT
1664589600000,1331.48000000,1332.05000000,1330.33000000,1331.51000000,511.64820000,893,ETHUSDT
1664589900000,1331.52000000,1331.54000000,1330.28000000,1330.93000000,415.28610000,775,ETHUSDT
1664590200000,1330.93000000,1331.12000000,1330.00000000,1330.00000000,518.99160000,825,ETHUSDT
1664590500000,1330.00000000,1330.28000000,1329.39000000,1329.53000000,818.95590000,928,ETHUSDT
1664590800000,1329.52000000,1330.65000000,1329.52000000,1330.08000000,738.64840000,747,ETHUSDT
1664591100000,1330.09000000,1331.87000000,1330.07000000,1330.86000000,489.87650000,737,ETHUSDT
1664591400000,1330.85000000,1331.54000000,1330.41000000,1331.53000000,259.11390000,610,ETHUSDT
1664591700000,1331.54000000,1332.49000000,1330.94000000,1331.26000000,1725.65340000,1252,ETHUSDT
1664592000000,1331.27000000,1331.57000000,1329.70000000,1329.74000000,926.65940000,1001,ETHUSDT
1664592300000,1329.73000000,1331.39000000,1329.30000000,1331.06000000,1309.25190000,1132,ETHUSDT
1664592600000,1331.05000000,1331.89000000,1330.41000000,1331.81000000,517.02190000,847,ETHUSDT
1664592900000,1331.82000000,1331.82000000,1330.00000000,1330.16000000,863.16190000,938,ETHUSDT
1664593200000,1330.16000000,1331.48000000,1330.00000000,1330.89000000,420.84940000,840,ETHUSDT
1664593500000,1330.88000000,1331.33000000,1329.20000000,1329.21000000,639.77180000,1152,ETHUSDT
1664593800000,1329.20000000,1329.55000000,1326.81000000,1327.45000000,915.24240000,1278,ETHUSDT
1664594100000,1327.45000000,1328.65000000,1327.45000000,1328.37000000,673.43000000,1216,ETHUSDT
1664594400000,1328.37000000,1329.51000000,1328.37000000,1329.50000000,557.09580000,896,ETHUSDT
1664594700000,1329.51000000,1329.51000000,1325.51000000,1325.53000000,1190.49260000,1142,ETHUSDT
1664595000000,1325.52000000,1328.20000000,1325.52000000,1327.67000000,788.06090000,1264,ETHUSDT
1664595300000,1327.67000000,1328.30000000,1327.41000000,1328.19000000,877.81410000,805,ETHUSDT
1664595600000,1328.19000000,1328.53000000,1327.76000000,1328.06000000,852.29510000,724,ETHUSDT
1664595900000,1328.05000000,1328.41000000,1328.05000000,1328.38000000,198.74650000,572,ETHUSDT
1664596200000,1328.38000000,1329.21000000,1328.31000000,1328.80000000,544.44880000,831,ETHUSDT
1664596500000,1328.81000000,1330.00000000,1328.80000000,1329.61000000,376.53000000,776,ETHUSDT
1664596800000,1329.61000000,1329.81000000,1329.00000000,1329.80000000,457.99030000,683,ETHUSDT
1664597100000,1329.81000000,1330.40000000,1329.16000000,1329.89000000,514.06670000,829,ETHUSDT
1664597400000,1329.89000000,1331.31000000,1329.27000000,1330.95000000,926.33100000,1277,ETHUSDT
1664597700000,1330.95000000,1331.11000000,1328.79000000,1329.01000000,523.19910000,958,ETHUSDT
1664598000000,1329.00000000,1329.42000000,1328.00000000,1328.15000000,1460.92540000,1392,ETHUSDT
1664598300000,1328.14000000,1328.76000000,1327.69000000,1328.27000000,419.32680000,648,ETHUSDT
1664598600000,1328.26000000,1330.85000000,1328.26000000,1330.28000000,1904.72000000,1730,ETHUSDT
1664598900000,1330.29000000,1330.67000000,1329.42000000,1329.51000000,792.48500000,871,ETHUSDT
1664599200000,1329.51000000,1330.80000000,1329.50000000,1330.56000000,931.64160000,914,ETHUSDT
1664599500000,1330.57000000,1331.13000000,1326.88000000,1327.63000000,1951.65700000,1615,ETHUSDT
1664599800000,1327.64000000,1329.04000000,1327.63000000,1328.84000000,600.87010000,866,ETHUSDT
1664600100000,1328.83000000,1329.49000000,1328.18000000,1328.93000000,838.76990000,957,ETHUSDT
1664600400000,1328.93000000,1330.85000000,1328.82000000,1330.22000000,791.91800000,928,ETHUSDT
1664600700000,1330.23000000,1330.44000000,1329.71000000,1329.99000000,239.98350000,534,ETHUSDT
1664601000000,1329.98000000,1330.18000000,1328.75000000,1328.90000000,411.19630000,679,ETHUSDT
1664601300000,1328.89000000,1329.48000000,1326.64000000,1326.64000000,657.22690000,936,ETHUSDT
1664601600000,1326.65000000,1327.35000000,1324.61000000,1325.03000000,961.61520000,1441,ETHUSDT
1664601900000,1325.04000000,1326.42000000,1323.28000000,1325.64000000,2665.18180000,3383,ETHUSDT
1664602200000,1325.63000000,1326.63000000,1325.19000000,1326.08000000,820.69850000,1319,ETHUSDT
1664602500000,1326.09000000,1326.20000000,1325.21000000,1325.84000000,670.42610000,1049,ETHUSDT
1664602800000,1325.85000000,1326.29000000,1325.77000000,1326.05000000,452.13750000,898,ETHUSDT
